ID,Iniciales,Tiempo,ObsAA,ObsEst,ObsCon,ObsCaos,DNE,G1,G2,G3,X1,X2,X3,ApoyoAut,Estruc,Control,Chaos,SIS_AA,SIS_Est,SIS_Control,SIS_Chaos,NeedSat,NeedFru,AutSat,CompSat,SatRel,FrusAut,FrusComp,FrusRel,SatLab,EmoExha,Cinismo,Engagement,Thriving,Joy,Anger,Anxiety,Hope,Hopelessness,PerGrow,RelGrow,MasGrow,EducaMat,DesBeha,NoGoal,NeedSup,EstDesm,CoreBO,EmoPos,EmoNeg
1,MC,26,"5,333333333",6,1,1,93,2,3,,1,8,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,27,"5,333333333",6,1,1,80,2,3,,1,8,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,28,"5,333333333",6,1,1,63,2,3,,1,8,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,29,"5,333333333",6,1,1,100,2,3,,1,8,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,30,"5,333333333",6,1,1,94,2,3,,1,8,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,31,2,"5,666666667",1,1,61,5,,,9,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,32,2,"5,666666667",1,1,49,5,,,9,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,33,2,"5,666666667",1,1,59,5,,,9,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,34,2,"5,666666667",1,1,45,5,,,9,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,35,2,"5,666666667",1,1,59,5,,,9,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
